tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0113526,movie,Karan Arjun,Karan Arjun,0,1995,\N,175,"Action,Drama,Fantasy"
tt0114031,movie,Oh Darling Yeh Hai India,Oh Darling Yeh Hai India,0,1995,\N,160,Comedy
tt0114231,movie,Ram Jaane,Ram Jaane,0,1995,\N,122,"Action,Crime,Drama"
tt0114726,movie,Trimurti,Trimurti,0,1995,\N,187,"Action,Drama"
tt0115019,movie,Yeh Majhdhaar,Yeh Majhdhaar,0,1996,\N,139,"Drama,Romance"
tt0115042,movie,Zamaana Deewana,Zamaana Deewana,0,1995,\N,162,"Action,Comedy,Drama"
tt0115568,movie,Army,Army,0,1996,\N,153,"Action,Drama"
tt0116153,movie,Dushman Duniya Ka,Dushman Duniya Ka,0,1996,\N,153,Drama
tt0116690,movie,Jeet,Jeet,0,1996,\N,180,"Action,Romance"
tt0116763,movie,Khamoshi the Musical,Khamoshi: The Musical,0,1996,\N,160,"Drama,Musical,Romance"
tt0118660,movie,Auzaar,Auzaar,0,1997,\N,127,"Action,Drama,Musical"
tt0118983,movie,Dil To Pagal Hai,Dil To Pagal Hai,0,1997,\N,180,"Comedy,Drama,Musical"
tt0119428,movie,Judwaa,Judwaa,0,1997,\N,138,"Action,Comedy,Drama"
tt0119861,movie,Pardes,Pardes,0,1997,\N,191,"Drama,Musical,Romance"
tt0120540,movie,Yes Boss,Yes Boss,0,1997,\N,163,"Comedy,Drama,Musical"
tt0126234,movie,Chamatkar,Chamatkar,0,1992,\N,171,"Comedy,Drama,Fantasy"
tt0126871,movie,Deewana,Deewana,0,1992,\N,185,"Action,Comedy,Drama"
tt0136153,movie,English Babu Desi Mem,English Babu Desi Mem,0,1996,\N,170,"Comedy,Drama,Musical"
tt0136352,movie,Koyla,Koyla,0,1997,\N,166,"Action,Drama,Musical"
tt0137100,movie,Maya,Maya Memsaab,0,1993,\N,130,"Drama,Mystery,Romance"
tt0150992,movie,Straight from the Heart,Hum Dil De Chuke Sanam,0,1999,\N,188,"Comedy,Drama,Musical"
tt0151150,movie,Josh,Josh,0,2000,\N,162,"Action,Drama,Musical"
tt0164538,movie,Dil Se..,Dil Se..,0,1998,\N,163,"Drama,Romance"
tt0164550,movie,Duplicate,Duplicate,0,1998,\N,164,"Action,Comedy,Crime"
tt0168516,movie,Biwi Ho To Aisi,Biwi Ho To Aisi,0,1988,\N,149,"Comedy,Drama"
tt0172234,movie,Chaahat,Chaahat,0,1996,\N,151,"Drama,Romance"
tt0172519,movie,Guddu,Guddu,0,1995,\N,160,"Drama,Romance"
tt0172684,movie,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai,0,1998,\N,185,"Comedy,Drama,Musical"
tt0173080,movie,Pyaar Kiya To Darna Kya,Pyaar Kiya To Darna Kya,0,1998,\N,162,"Action,Comedy,Drama"
tt0173102,movie,Raju Ban Gaya Gentleman,Raju Ban Gaya Gentleman,0,1992,\N,152,"Comedy,Drama,Musical"
tt0182251,movie,When One Falls in Love,Jab Pyaar Kisise Hota Hai,0,1998,\N,154,"Comedy,Drama,Romance"
tt0207341,movie,Biwi No. 1,Biwi No. 1,0,1999,\N,159,"Comedy,Drama,Romance"
tt0211934,movie,Baadshah,Baadshah,0,1999,\N,175,"Action,Comedy,Crime"
tt0213890,movie,Mohabbatein,Mohabbatein,0,2000,\N,216,"Drama,Musical,Romance"
tt0214815,tvSpecial,Jhomma Chumma in London,Jhomma Chumma in London,0,1991,\N,133,Music
tt0216817,movie,Hum Saath-Saath Hain,Hum Saath-Saath Hain,0,1999,\N,177,"Drama,Musical"
tt0221982,movie,Gaja Gamini,Gaja Gamini,0,2000,\N,122,"Drama,Fantasy"
tt0222012,movie,Hey Ram,Hey Ram,0,2000,\N,186,"Crime,Drama,History"
tt0222024,movie,Hum Tumhare Hain Sanam,Hum Tumhare Hain Sanam,0,2002,\N,174,"Comedy,Drama,Romance"
tt0222270,movie,Phir Bhi Dil Hai Hindustani,Phir Bhi Dil Hai Hindustani,0,2000,\N,160,"Comedy,Drama,Musical"
tt0226847,movie,Jaanam Samjha Karo,Jaanam Samjha Karo,0,1999,\N,153,"Drama,Romance"
tt0227194,movie,One 2 Ka 4,One 2 Ka 4,0,2001,\N,169,"Action,Crime,Drama"
tt0233856,movie,Hello Brother,Hello Brother,0,1999,\N,139,"Action,Comedy,Fantasy"
tt0238936,movie,Devdas,Devdas,0,2002,\N,185,"Drama,Musical,Romance"
tt0244794,movie,Only You,Sirf Tum,0,1999,\N,150,"Drama,Romance"
tt0245825,movie,Chal Mere Bhai,Chal Mere Bhai,0,2000,\N,136,"Comedy,Romance"
tt0247992,movie,Dulhan Hum Le Jayenge,Dulhan Hum Le Jayenge,0,2000,\N,158,"Comedy,Drama,Romance"
tt0248126,movie,Kabhi Khushi Kabhie Gham...,Kabhi Khushi Kabhie Gham...,0,2001,\N,210,"Drama,Musical,Romance"
tt0249371,movie,Asoka,Asoka,0,2001,\N,180,"Action,Biography,Drama"
tt0250415,movie,Har Dil Jo Pyar Karega...,Har Dil Jo Pyar Karega...,0,2000,\N,173,"Comedy,Drama,Musical"
tt0250875,tvSeries,Kaun Banega Crorepati?,Kaun Banega Crorepati?,0,2000,\N,60,Game-Show
tt0256692,movie,Chori Chori Chupke Chupke,Chori Chori Chupke Chupke,0,2001,\N,165,"Comedy,Drama,Musical"
tt0268401,movie,Kahin Pyaar Na Ho Jaaye,Kahin Pyaar Na Ho Jaaye,0,2000,\N,159,"Comedy,Drama,Musical"
tt0273452,movie,Bandhan,Bandhan,0,1998,\N,154,"Action,Drama,Romance"
tt0273672,tvSpecial,1st IIFA Awards (2000),International Indian Film Awards,0,2000,\N,\N,\N
tt0288364,tvSeries,Hot Wax,Hot Wax,0,2001,\N,\N,\N
tt0291883,movie,Ek Ladka Ek Ladki,Ek Ladka Ek Ladki,0,1992,\N,162,"Comedy,Romance"
tt0295776,tvSeries,Fauji,Fauji,0,1988,1988,\N,"Action,Drama"
tt0296535,movie,Bollywood Bound,Bollywood Bound,0,2002,\N,88,Documentary
tt0297032,tvEpisode,Bollywood im Alpenrausch,Bollywood im Alpenrausch,0,2000,\N,51,"Biography,Documentary,History"
tt0310254,movie,Tumko Na Bhool Paayenge,Tumko Na Bhool Paayenge,0,2002,\N,160,"Action,Comedy,Crime"
tt0313844,movie,16 December,16 December,0,2002,\N,158,"Action,Thriller"
tt0328671,movie,Yeh Hai Jalwa,Yeh Hai Jalwa,0,2002,\N,165,"Comedy,Drama,Romance"
tt0329354,movie,Marigold,Marigold,0,2007,\N,110,"Comedy,Music,Romance"
tt0330843,movie,Saathiya,Saathiya,0,2002,\N,138,"Drama,Family,Romance"
tt0331639,movie,Shakthi: The Power,Shakthi: The Power,0,2002,\N,170,"Action,Drama,Thriller"
tt0337578,movie,Baghban,Baghban,0,2003,\N,181,"Drama,Romance"
tt0342949,short,Sabrina's Bollywood,Sabrina's Bollywood,0,2002,\N,10,"Documentary,Short"
tt0344720,tvSeries,Showbiz India,Showbiz India,0,1998,\N,60,\N
tt0345594,movie,Love at Times Square,Love at Times Square,0,2003,\N,120,"Drama,Romance"
tt0346723,movie,Chalte Chalte,Chalte Chalte,0,2003,\N,167,"Drama,Romance"
tt0347304,movie,Kal Ho Naa Ho,Kal Ho Naa Ho,0,2003,\N,186,"Comedy,Drama,Musical"
tt0347473,movie,Main Hoon Na,Main Hoon Na,0,2004,\N,182,"Action,Comedy,Drama"
tt0357208,movie,Stumped,Stumped,0,2003,\N,121,"Comedy,Drama,Sport"
tt0367110,movie,Swades,"Swades: We, the People",0,2004,\N,189,"Drama,Musical"
tt0370114,tvSeries,Circus,Circus,0,1989,1990,\N,Drama
tt0374271,movie,In Your Name,Tere Naam,0,2003,\N,132,"Action,Drama,Romance"
tt0385351,movie,Yeh Lamhe Judaai Ke,Yeh Lamhe Judaai Ke,0,2004,\N,188,"Drama,Mystery,Romance"
tt0388197,movie,Larger Than Life,Larger Than Life,0,2003,\N,78,Documentary
tt0390678,tvSeries,Aap Ki Adalat,Aap Ki Adalat,0,1992,2024,\N,"News,Reality-TV,Talk-Show"
tt0392360,movie,Love,Love,0,1991,\N,152,"Drama,Musical,Romance"
tt0395802,movie,Veergati,Veergati,0,1995,\N,166,"Action,Drama"
tt0396410,tvSpecial,48th Manikchand Filmfare Awards 2002,48th Manikchand Filmfare Awards 2002,0,2003,\N,\N,\N
tt0396563,movie,Dil Ne Jise Apna Kaha,Dil Ne Jise Apna Kaha,0,2004,\N,135,"Drama,Romance"
tt0397233,tvSpecial,49th Manikchand Filmfare Awards 2003,49th Manikchand Filmfare Awards 2003,0,2004,\N,\N,\N
tt0415003,movie,Garv: Pride and Honour,Garv: Pride and Honour,0,2004,\N,162,"Action,Crime,Drama"
tt0415908,movie,Kaal,Kaal,0,2005,\N,126,"Adventure,Horror,Mystery"
tt0418362,movie,Mujhse Shaadi Karogi,Mujhse Shaadi Karogi,0,2004,\N,163,"Comedy,Romance"
tt0419468,movie,Baabul,Baabul,0,2006,\N,169,"Drama,Family,Romance"
tt0420332,movie,Veer-Zaara,Veer-Zaara,0,2004,\N,192,"Drama,Family,Musical"
tt0422950,movie,Phir Milenge,Phir Milenge,0,2004,\N,142,Drama
tt0430589,movie,Shaadi Karke Phas Gaya Yaar,Shaadi Karke Phas Gaya Yaar,0,2006,\N,152,"Comedy,Drama,Romance"
tt0445883,tvSeries,Koffee with Karan,Koffee with Karan,0,2004,\N,60,"Comedy,Talk-Show"
tt0449306,movie,Lucky: No Time for Love,Lucky: No Time for Love,0,2005,\N,180,"Drama,Musical,Romance"
tt0449999,movie,Kabhi Alvida Naa Kehna,Kabhi Alvida Naa Kehna,0,2006,\N,193,"Drama,Romance"
tt0451787,movie,Kyon Ki...,Kyon Ki...,0,2005,\N,160,"Drama,Romance"
tt0451803,movie,Maine Pyaar Kyun Kiya,Maine Pyaar Kyun Kiya,0,2005,\N,145,"Comedy,Drama,Romance"
tt0451833,movie,No Entry,No Entry,0,2005,\N,158,"Comedy,Drama,Musical"
tt0451850,movie,Paheli,Paheli,0,2005,\N,140,"Comedy,Drama,Fantasy"
tt0456481,movie,Jaan-E-Mann: Let's Fall in Love... Again,Jaan-E-Mann: Let's Fall in Love... Again,0,2006,\N,165,"Comedy,Drama,Musical"
tt0461936,movie,Don,Don,0,2006,\N,171,"Action,Crime,Thriller"
tt0470521,movie,Saawan... The Love Season,Saawan... The Love Season,0,2006,\N,123,"Drama,Fantasy,Romance"
tt0476550,movie,God Tussi Great Ho,God Tussi Great Ho,0,2008,\N,152,"Comedy,Fantasy"
tt0485272,movie,Salaam-E-Ishq,Salaam-E-Ishq,0,2007,\N,216,"Comedy,Drama,Musical"
tt0486615,movie,London Dreams,London Dreams,0,2009,\N,146,"Crime,Drama,Music"
tt0523720,tvEpisode,Episode dated 24 October 2001,Episode dated 24 October 2001,0,2001,\N,\N,"Comedy,Game-Show,News"
tt0618985,tvEpisode,The New Year Special Part 1,The New Year Special Part 1,0,2000,\N,\N,Game-Show
tt0621272,tvEpisode,Shahrukh & Kajol,Shahrukh & Kajol,0,2004,\N,\N,"Comedy,Talk-Show"
tt0621280,tvEpisode,"Sharukh, Gauri, Hrithik & Suzanne","Sharukh, Gauri, Hrithik & Suzanne",0,2005,\N,\N,"Comedy,Talk-Show"
tt0684982,tvEpisode,Rendezvous with Shahrukh Khan and Gauri Khan,Rendezvous with Shahrukh Khan and Gauri Khan,0,\N,\N,\N,Talk-Show
tt0685929,tvEpisode,Episode #1.137,Episode #1.137,0,2002,\N,\N,Talk-Show
tt0700068,tvEpisode,Hearththrob Special,Hearththrob Special,0,2005,\N,\N,\N
tt0723929,tvEpisode,Episode dated 7 February 2004,Episode dated 7 February 2004,0,2004,\N,60,"Music,News"
tt0758053,movie,Saawariya,Saawariya,0,2007,\N,142,"Drama,Musical,Romance"
tt0772737,movie,Bollywood Remixed - Das indische Kino erobert den Westen,Bollywood Remixed - Das indische Kino erobert den Westen,0,2004,\N,77,Documentary
tt0806088,movie,Heyy Babyy,Heyy Babyy,0,2007,\N,144,"Comedy,Drama"
tt0807758,movie,Partner,Partner,0,2007,\N,155,"Comedy,Drama,Romance"
tt0857381,movie,I See You,I See You,0,2006,\N,122,"Comedy,Drama,Fantasy"
tt0871510,movie,Chak De! India,Chak De! India,0,2007,\N,153,"Drama,Family,Sport"
tt0991346,movie,Bhoothnath,Bhoothnath,0,2008,\N,150,"Comedy,Drama,Family"
tt0994282,tvEpisode,Shah Rukh Khan,Shah Rukh Khan,0,2002,\N,48,Talk-Show
tt10002296,tvEpisode,Day 3: Fight between Rohan and Manu gets ugly!,Day 3: Fight between Rohan and Manu gets ugly!,0,2016,\N,\N,Reality-TV
tt10002320,tvEpisode,Day 4: Om Baba gets jailed!,Day 4: Om Baba gets jailed!,0,2016,\N,\N,Reality-TV
tt10002324,tvEpisode,Day 5: 'Sevaks' try their luck at becoming 'Maaliks',Day 5: 'Sevaks' try their luck at becoming 'Maaliks',0,2016,\N,\N,Reality-TV
tt10002328,tvEpisode,Weekend Ka Vaar: 'Salman ki class',Weekend Ka Vaar: 'Salman ki class',0,2016,\N,\N,Reality-TV
tt10002334,tvEpisode,Weekend Ka Vaar: Bigg Boss's first eviction!,Weekend Ka Vaar: Bigg Boss's first eviction!,0,2016,\N,\N,Reality-TV
tt10002348,tvEpisode,S10 E6 - Day 7 and 8: Celebs turn 'Maaliks',S10 E6 - Day 7 and 8: Celebs turn 'Maaliks',0,2016,\N,\N,Reality-TV
tt10002366,tvEpisode,Day 9: Laundry challenge gets fierce!,Day 9: Laundry challenge gets fierce!,0,2016,\N,\N,Reality-TV
tt10002374,tvEpisode,DAY 10: Dhobi ghat ya Dhobi pachad?,DAY 10: Dhobi ghat ya Dhobi pachad?,0,2016,\N,\N,Reality-TV
tt10002382,tvEpisode,Day 11: Jail time for Mona and Baba yet again!,Day 11: Jail time for Mona and Baba yet again!,0,2016,\N,\N,Reality-TV
tt10002384,tvEpisode,Day 12: Diwali Celebrations in the house!,Day 12: Diwali Celebrations in the house!,0,2016,\N,\N,Reality-TV
tt10002388,tvEpisode,Weekend Ka vaar: Diwali dhamaka with Salman!,Weekend Ka vaar: Diwali dhamaka with Salman!,0,2016,\N,\N,Reality-TV
tt10002398,tvEpisode,Weekend Ka Vaar: Thappad se dar nahi lagta!,Weekend Ka Vaar: Thappad se dar nahi lagta!,0,2016,\N,\N,Reality-TV
tt10002412,tvEpisode,Day 16: 'Raja aur Rank' task stirs up the Bigg Boss house,Day 16: 'Raja aur Rank' task stirs up the Bigg Boss house,0,2016,\N,\N,Reality-TV
tt10002422,tvEpisode,Day 17: Guess who wins the 'Raja aur Rank' task?,Day 17: Guess who wins the 'Raja aur Rank' task?,0,2016,\N,\N,Reality-TV
tt10002434,tvEpisode,Day 19: Fight between Lopa-Bani heats up!,Day 19: Fight between Lopa-Bani heats up!,0,2016,\N,\N,Reality-TV
tt10002446,tvEpisode,Weekend Ka Vaar: Its Indiawale vs Indiawale!,Weekend Ka Vaar: Its Indiawale vs Indiawale!,0,2016,\N,\N,Reality-TV
tt10002458,tvEpisode,Weekend Ka Vaar: Rockstars in the house,Weekend Ka Vaar: Rockstars in the house,0,2016,\N,\N,Reality-TV
tt10002462,tvEpisode,Day 21 & 22: Khatray ki Ghanti!,Day 21 & 22: Khatray ki Ghanti!,0,2016,\N,\N,Reality-TV
tt10002470,tvEpisode,Day 23: Will Manveer save Manu?,Day 23: Will Manveer save Manu?,0,2016,\N,\N,Reality-TV
tt10002472,tvEpisode,"Day 24: No Indiawale, No Celebs - Meet the Gharwale!","Day 24: No Indiawale, No Celebs - Meet the Gharwale!",0,2016,\N,\N,Reality-TV
tt10002476,tvEpisode,Day 25: Kaun Banega Captain?,Day 25: Kaun Banega Captain?,0,2016,\N,\N,Reality-TV
tt10002478,tvEpisode,Day 26: 'Tum Bin 2' star cast in the house!,Day 26: 'Tum Bin 2' star cast in the house!,0,2016,\N,\N,Reality-TV
tt10002480,tvEpisode,Weekend Ka Vaar: Salman's 'Vaar' on Celebs!,Weekend Ka Vaar: Salman's 'Vaar' on Celebs!,0,2016,\N,\N,Reality-TV
tt10002490,tvEpisode,Weekend Ka Vaar: Salman and Himesh hit the right notes,Weekend Ka Vaar: Salman and Himesh hit the right notes,0,2016,\N,\N,Reality-TV
tt10002500,tvEpisode,Day 28 and 29: Manu unleashes his fury on Om Swami!,Day 28 and 29: Manu unleashes his fury on Om Swami!,0,2016,\N,\N,Reality-TV
tt10011726,tvEpisode,Episode #1.3,Episode #1.3,0,1989,\N,\N,Drama
tt10011730,tvEpisode,Episode #1.4,Episode #1.4,0,1989,\N,\N,Drama
tt10011734,tvEpisode,Episode #1.6,Episode #1.6,0,1989,\N,\N,Drama
tt10011736,tvEpisode,Episode #1.5,Episode #1.5,0,1989,\N,\N,Drama
tt10011738,tvEpisode,Episode #1.7,Episode #1.7,0,1989,\N,\N,Drama
tt10011740,tvEpisode,Episode #1.9,Episode #1.9,0,1989,\N,\N,Drama
tt10011742,tvEpisode,Episode #1.8,Episode #1.8,0,1989,\N,\N,Drama
tt10011744,tvEpisode,Episode #1.10,Episode #1.10,0,1989,\N,\N,Drama
tt10011748,tvEpisode,Episode #1.11,Episode #1.11,0,1990,\N,\N,Drama
tt10011750,tvEpisode,Episode #1.12,Episode #1.12,0,1990,\N,\N,Drama
tt10011754,tvEpisode,Episode #1.13,Episode #1.13,0,1990,\N,\N,Drama
tt10011756,tvEpisode,Episode #1.14,Episode #1.14,0,1990,\N,\N,Drama
tt10011758,tvEpisode,Episode #1.15,Episode #1.15,0,1990,\N,\N,Drama
tt10011760,tvEpisode,Episode #1.16,Episode #1.16,0,1990,\N,\N,Drama
tt10011762,tvEpisode,Episode #1.17,Episode #1.17,0,1990,\N,\N,Drama
tt10011764,tvEpisode,Episode #1.18,Episode #1.18,0,1990,\N,\N,Drama
tt10011766,tvEpisode,Episode #1.19,Episode #1.19,0,1990,\N,\N,Drama
tt10042310,tvEpisode,Akash Nominated For Spitting?,Akash Nominated For Spitting?,0,2017,\N,\N,Reality-TV
tt10042312,tvEpisode,The Blame Game Begins,The Blame Game Begins,0,2017,\N,\N,Reality-TV
tt10042314,tvEpisode,Vikas's Bigg Escape!,Vikas's Bigg Escape!,0,2017,\N,\N,Reality-TV
tt10042324,tvEpisode,Day 30: Ugly Spat in the house,Day 30: Ugly Spat in the house,0,2016,\N,\N,Reality-TV
tt10042326,tvEpisode,Day 31: A furious Lokesh speaks her mind!,Day 31: A furious Lokesh speaks her mind!,0,2016,\N,\N,Reality-TV
tt10042328,tvEpisode,Day 32: New captaincy is off to a rocky start!,Day 32: New captaincy is off to a rocky start!,0,2016,\N,\N,Reality-TV
tt10042330,tvEpisode,Day 33: Captain Rohan turns dictator!,Day 33: Captain Rohan turns dictator!,0,2016,\N,\N,Reality-TV
tt10042332,tvEpisode,Weekend Ka Vaar: Double Vaar with Mouni Roy,Weekend Ka Vaar: Double Vaar with Mouni Roy,0,2016,\N,\N,Reality-TV
tt10052020,tvEpisode,The terms and conditions,The terms and conditions,0,2013,\N,\N,"Comedy,Drama,Family"
tt10088146,tvEpisode,Episode #1.621,Episode #1.621,0,2010,\N,\N,"Comedy,Drama,Family"
tt10088150,tvEpisode,Episode #1.622,Episode #1.622,0,2010,\N,\N,"Comedy,Drama,Family"
tt10105538,tvEpisode,Old is Gold,Old is Gold,0,2019,\N,79,"Comedy,Talk-Show"
tt10105546,tvEpisode,Welcome The Dance Masters,Welcome The Dance Masters,0,2019,\N,80,"Comedy,Talk-Show"
tt10105824,tvMiniSeries,Badla: Unplugged,Badla: Unplugged,0,2019,2019,8,"Comedy,Talk-Show"
tt10106678,tvEpisode,Episode #1.1,Episode #1.1,0,2019,\N,\N,"Comedy,Talk-Show"
tt10106684,tvEpisode,Episode #1.2,Episode #1.2,0,2019,\N,\N,"Comedy,Talk-Show"
tt10106688,tvEpisode,Episode #1.3,Episode #1.3,0,2019,\N,\N,"Comedy,Talk-Show"
tt10141036,tvEpisode,John Abraham Crushes Kapil,John Abraham Crushes Kapil,0,2019,\N,78,"Comedy,Talk-Show"
tt10141038,tvEpisode,Bhojpuri Film Industry on National Television,Bhojpuri Film Industry on National Television,0,2019,\N,78,"Comedy,Talk-Show"
tt10141042,tvEpisode,The Star-Cast of Kalank,The Star-Cast of Kalank,0,2019,\N,78,"Comedy,Talk-Show"
tt10141048,tvEpisode,Star-Cast of Kalank - Part 2,Star-Cast of Kalank - Part 2,0,2019,\N,73,"Comedy,Talk-Show"
tt10175022,tvEpisode,My Stronger Guilt Defeats My Strong Intent,My Stronger Guilt Defeats My Strong Intent,0,2019,\N,\N,"Action,Adventure,Drama"
tt10210410,tvEpisode,"The ""Bad Boy"" Villains","The ""Bad Boy"" Villains",0,2019,\N,79,"Comedy,Talk-Show"
tt10210412,tvEpisode,Tribute To Kishore Kumar,Tribute To Kishore Kumar,0,2019,\N,82,"Comedy,Talk-Show"
tt10230422,movie,Class of '83,Class of 83,0,2020,\N,98,"Crime,Drama,Thriller"
tt10235910,tvSeries,Life OK Screen Awards,Life OK Screen Awards,0,2015,\N,\N,Reality-TV
tt10243326,tvEpisode,Heat Not a Furnace for Your Foe So Hot That It Do Singe Yourself,Heat Not a Furnace for Your Foe So Hot That It Do Singe Yourself,0,2019,\N,\N,"Action,Adventure,Drama"
tt10249238,tvEpisode,The Proud Women Cricketers of India,The Proud Women Cricketers of India,0,2019,\N,78,"Comedy,Talk-Show"
tt10249288,tvEpisode,Karan Johar & Kajol Have Coffee with Kapil,Karan Johar & Kajol Have Coffee with Kapil,0,2019,\N,77,"Comedy,Talk-Show"
tt1024943,movie,Om Shanti Om,Om Shanti Om,0,2007,\N,162,"Action,Comedy,Drama"
tt10249444,tvEpisode,The Star Cast of Badhaai Ho,The Star Cast of Badhaai Ho,0,2019,\N,72,"Comedy,Talk-Show"
tt10249460,tvEpisode,Students of The Year Chat with Kapil,Students of The Year Chat with Kapil,0,2019,\N,85,"Comedy,Talk-Show"
tt10249472,tvEpisode,The Cast of De De Pyaar De,The Cast of De De Pyaar De,0,2019,\N,71,"Comedy,Talk-Show"
tt10249482,tvEpisode,Mother's Day Special,Mother's Day Special,0,2019,\N,78,"Comedy,Talk-Show"
tt10271894,tvSeries,India Poochega Sabse Shaana Kaun,India Poochega Sabse Shaana Kaun,0,2015,\N,\N,Reality-TV
tt10289938,tvMiniSeries,The Forgotten Army - Azaadi ke liye,The Forgotten Army - Azaadi ke liye,0,2020,2020,39,"Drama,History,War"
tt10349254,tvEpisode,Saina Nehwal and Parupalli Kashyap,Saina Nehwal and Parupalli Kashyap,0,2019,\N,77,"Comedy,Talk-Show"
tt10349258,tvEpisode,"Sakshi Malik, Yogeshwar Dutt & Manika Batra","Sakshi Malik, Yogeshwar Dutt & Manika Batra",0,2019,\N,77,"Comedy,Talk-Show"
tt1037020,tvMovie,Bollywood - Indiens klingendes Kino,Bollywood - Indiens klingendes Kino,0,2005,\N,58,Documentary
tt10390134,tvEpisode,Kumar Sanu and Sameer Anjaan,Kumar Sanu and Sameer Anjaan,0,2019,\N,80,"Comedy,Talk-Show"
tt10390874,tvEpisode,Usha Uthup and Sudesh Bhosle,Usha Uthup and Sudesh Bhosle,0,2019,\N,73,"Comedy,Talk-Show"
tt10432440,tvSeries,Super 7,Super 7,0,1998,2000,22,\N
tt10443756,tvEpisode,Salman Khan & Katrina Kaif,Salman Khan & Katrina Kaif,0,2019,\N,72,"Comedy,Talk-Show"
tt10443768,tvEpisode,Salman Khan & Katrina Kaif - Part 2,Salman Khan & Katrina Kaif - Part 2,0,2019,\N,80,"Comedy,Talk-Show"
tt10467852,tvEpisode,Abhay Deol & Mithila Palkar,Abhay Deol & Mithila Palkar,0,2019,\N,73,"Comedy,Talk-Show"
tt10467890,tvEpisode,"Dutee Chand, Sandeep Singh & Bhaichung Bhutia","Dutee Chand, Sandeep Singh & Bhaichung Bhutia",0,2019,\N,77,"Comedy,Talk-Show"
tt10474880,tvEpisode,Episode #1.2120,Episode #1.2120,0,2016,\N,\N,Drama
tt10501328,tvEpisode,Shahid Kapoor & Kiara Advani,Shahid Kapoor & Kiara Advani,0,2019,\N,75,"Comedy,Talk-Show"
tt10501522,tvEpisode,Anupam Kher & Esha Gupta,Anupam Kher & Esha Gupta,0,2019,\N,72,"Comedy,Talk-Show"
tt10526288,tvEpisode,"Love All, Trust a Few, Do Wrong to None","Love All, Trust a Few, Do Wrong to None",0,2019,\N,\N,"Action,Adventure,Drama"
tt10526298,tvEpisode,Fight Fire with Fire,Fight Fire with Fire,0,2019,\N,\N,"Action,Adventure,Drama"
tt10579658,tvEpisode,"Alka Yagnik, Javed Ali & Himesh Reshammiya","Alka Yagnik, Javed Ali & Himesh Reshammiya",0,2019,\N,79,"Comedy,Talk-Show"
tt10579690,tvEpisode,Article 15,Article 15,0,2019,\N,\N,"Comedy,Talk-Show"
tt10579786,tvEpisode,"Mallika Sherawat, Ekta Kapoor & Tusshar Kapoor","Mallika Sherawat, Ekta Kapoor & Tusshar Kapoor",0,2019,\N,\N,"Comedy,Talk-Show"
